name,sex,age,height,weight,bmi,country,year,season,city,sport,medal
Charles Hamelin,M,25.0,175.0,71.0,23.18,Canada,2010,Winter,Vancouver,Short Track Speed Skating,Gold
Charles Hamelin,M,25.0,175.0,71.0,23.18,Canada,2010,Winter,Vancouver,Short Track Speed Skating,Gold
Charles Hamelin,M,29.0,175.0,71.0,23.18,Canada,2014,Winter,Sochi,Short Track Speed Skating,Gold
Franois Hamelin,M,23.0,175.0,73.0,23.84,Canada,2010,Winter,Vancouver,Short Track Speed Skating,Gold
"Daniel ""Dan"" Hamhuis",M,31.0,185.0,92.0,26.88,Canada,2014,Winter,Sochi,Ice Hockey,Gold
Claire Hamilton,F,25.0,170.0,63.0,21.8,United Kingdom,2014,Winter,Sochi,Curling,Bronze
Kyle Hamilton,M,30.0,199.0,96.0,24.24,Canada,2008,Summer,Beijing,Rowing,Gold
Erin Mullady Hamlin,F,27.0,170.0,65.0,22.49,United States of America,2014,Winter,Sochi,Luge,Bronze
"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)",F,32.0,165.0,56.0,20.57,United States of America,2004,Summer,Athina,Football,Gold
Morgan Carl Hamm,M,21.0,165.0,65.0,23.88,United States of America,2004,Summer,Athina,Gymnastics,Silver
Paul Elbert Hamm,M,21.0,165.0,62.0,22.77,United States of America,2004,Summer,Athina,Gymnastics,Gold
Paul Elbert Hamm,M,21.0,165.0,62.0,22.77,United States of America,2004,Summer,Athina,Gymnastics,Silver
Paul Elbert Hamm,M,21.0,165.0,62.0,22.77,United States of America,2004,Summer,Athina,Gymnastics,Silver
Pauline Louisa Hammarlund,F,22.0,172.0,65.0,21.97,Sweden,2016,Summer,Rio de Janeiro,Football,Silver
Sarah Kathryn Hammer (-Sparks),F,28.0,171.0,65.0,22.23,United States of America,2012,Summer,London,Cycling,Silver
Sarah Kathryn Hammer (-Sparks),F,28.0,171.0,65.0,22.23,United States of America,2012,Summer,London,Cycling,Silver
Sarah Kathryn Hammer (-Sparks),F,32.0,171.0,65.0,22.23,United States of America,2016,Summer,Rio de Janeiro,Cycling,Silver
Sarah Kathryn Hammer (-Sparks),F,32.0,171.0,65.0,22.23,United States of America,2016,Summer,Rio de Janeiro,Cycling,Silver
Gro Hammerseng (-Hammerseng-Edin),F,28.0,180.0,68.0,20.99,Norway,2008,Summer,Beijing,Handball,Gold
"Rebecca Lynn ""Becky"" Hammon",F,31.0,168.0,62.0,21.97,Russia,2008,Summer,Beijing,Basketball,Bronze
"Robert Rodney ""Rob"" Hammond",M,23.0,176.0,75.0,24.21,Australia,2004,Summer,Athina,Hockey,Gold
"Robert Rodney ""Rob"" Hammond",M,27.0,176.0,75.0,24.21,Australia,2008,Summer,Beijing,Hockey,Bronze
Han Gi-Ju,M,21.0,186.0,90.0,26.01,South Korea,2008,Summer,Beijing,Baseball,Gold
Han Sun-Cheol,M,27.0,178.0,60.0,18.94,South Korea,2012,Summer,London,Boxing,Silver
Han Tianyu,M,17.0,173.0,65.0,21.72,China,2014,Winter,Sochi,Short Track Speed Skating,Silver
Han Tianyu,M,17.0,173.0,65.0,21.72,China,2014,Winter,Sochi,Short Track Speed Skating,Bronze
Han Xiaopeng,M,22.0,173.0,75.0,25.06,China,2006,Winter,Torino,Freestyle Skiing,Gold
Ying Han,F,33.0,170.0,60.0,20.76,Germany,2016,Summer,Rio de Janeiro,Table Tennis,Silver
Jakub Hank,M,21.0,193.0,96.0,25.77,Czechia,2004,Summer,Athina,Rowing,Silver
Hanati Silamu,M,23.0,179.0,69.0,21.53,China,2008,Summer,Beijing,Boxing,Bronze
Vincent Hancock,M,19.0,173.0,80.0,26.73,United States of America,2008,Summer,Beijing,Shooting,Gold
Vincent Hancock,M,23.0,173.0,80.0,26.73,United States of America,2012,Summer,London,Shooting,Gold
Takuya Haneda,M,29.0,175.0,70.0,22.86,Japan,2016,Summer,Rio de Janeiro,Canoeing,Bronze
Tayyiba Mumtaz Haneef-Park,F,29.0,200.0,82.0,20.5,United States of America,2008,Summer,Beijing,Volleyball,Silver
Tayyiba Mumtaz Haneef-Park,F,33.0,200.0,82.0,20.5,United States of America,2012,Summer,London,Volleyball,Silver
Martin Hner,M,23.0,184.0,83.0,24.52,Germany,2012,Summer,London,Hockey,Gold
Martin Hner,M,27.0,184.0,83.0,24.52,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Fiona Hanes-Crawford,F,27.0,158.0,56.0,22.43,Australia,2004,Summer,Athina,Softball,Silver
Halvard Hanevold,M,32.0,181.0,75.0,22.89,Norway,2002,Winter,Salt Lake City,Biathlon,Gold
Halvard Hanevold,M,36.0,181.0,75.0,22.89,Norway,2006,Winter,Torino,Biathlon,Silver
Halvard Hanevold,M,36.0,181.0,75.0,22.89,Norway,2006,Winter,Torino,Biathlon,Bronze
Halvard Hanevold,M,40.0,181.0,75.0,22.89,Norway,2010,Winter,Vancouver,Biathlon,Gold
Sven Hannawald (Phler-),M,27.0,184.0,64.0,18.9,Germany,2002,Winter,Salt Lake City,Ski Jumping,Silver
Sven Hannawald (Phler-),M,27.0,184.0,64.0,18.9,Germany,2002,Winter,Salt Lake City,Ski Jumping,Gold
Mika Stefan Hannula,M,26.0,179.0,86.0,26.84,Sweden,2006,Winter,Torino,Ice Hockey,Gold
Brendan Joseph Hansen,M,22.0,183.0,85.0,25.38,United States of America,2004,Summer,Athina,Swimming,Silver
Brendan Joseph Hansen,M,22.0,183.0,85.0,25.38,United States of America,2004,Summer,Athina,Swimming,Bronze
Brendan Joseph Hansen,M,22.0,183.0,85.0,25.38,United States of America,2004,Summer,Athina,Swimming,Gold
Brendan Joseph Hansen,M,26.0,183.0,85.0,25.38,United States of America,2008,Summer,Beijing,Swimming,Gold
Brendan Joseph Hansen,M,30.0,183.0,85.0,25.38,United States of America,2012,Summer,London,Swimming,Bronze
Brendan Joseph Hansen,M,30.0,183.0,85.0,25.38,United States of America,2012,Summer,London,Swimming,Gold
Brian Hansen,M,19.0,183.0,82.0,24.49,United States of America,2010,Winter,Vancouver,Speed Skating,Silver
Henrik Toft Hansen,M,29.0,200.0,105.0,26.25,Denmark,2016,Summer,Rio de Janeiro,Handball,Gold
Jena Mai Hansen,F,27.0,166.0,60.0,21.77,Denmark,2016,Summer,Rio de Janeiro,Sailing,Bronze
"Joseph ""Joey"" Hansen",M,24.0,198.0,97.0,24.74,United States of America,2004,Summer,Athina,Rowing,Gold
Kevin Christopher Hansen,M,26.0,196.0,93.0,24.21,United States of America,2008,Summer,Beijing,Volleyball,Gold
Lasse Norman Hansen,M,20.0,180.0,73.0,22.53,Denmark,2012,Summer,London,Cycling,Gold
Lasse Norman Hansen,M,24.0,180.0,73.0,22.53,Denmark,2016,Summer,Rio de Janeiro,Cycling,Bronze
Lasse Norman Hansen,M,24.0,180.0,73.0,22.53,Denmark,2016,Summer,Rio de Janeiro,Cycling,Bronze
Mikkel Hansen,M,28.0,196.0,98.0,25.51,Denmark,2016,Summer,Rio de Janeiro,Handball,Gold
Ren Toft Hansen,M,31.0,200.0,105.0,26.25,Denmark,2016,Summer,Rio de Janeiro,Handball,Gold
"Boden Joseph ""Bo"" Hanson",M,31.0,199.0,100.0,25.25,Australia,2004,Summer,Athina,Rowing,Bronze
Brooke Louise Hanson (-Clarke),F,26.0,175.0,67.0,21.88,Australia,2004,Summer,Athina,Swimming,Silver
Brooke Louise Hanson (-Clarke),F,26.0,175.0,67.0,21.88,Australia,2004,Summer,Athina,Swimming,Gold
Janine Hanson,F,29.0,178.0,70.0,22.09,Canada,2012,Summer,London,Rowing,Silver
Yuzuru Hanyu,M,19.0,171.0,73.77,25.23,Japan,2014,Winter,Sochi,Figure Skating,Gold
Hao Jialu,F,28.0,176.0,66.0,21.31,China,2016,Summer,Rio de Janeiro,Fencing,Silver
Hao Yun,M,17.0,185.0,80.0,23.37,China,2012,Summer,London,Swimming,Bronze
Janne Mikael Happonen,M,21.0,180.0,63.0,19.44,Finland,2006,Winter,Torino,Ski Jumping,Silver
Saho Harada,F,21.0,166.0,56.0,20.32,Japan,2004,Summer,Athina,Synchronized Swimming,Silver
Saho Harada,F,25.0,166.0,56.0,20.32,Japan,2008,Summer,Beijing,Synchronized Swimming,Bronze
Katrine Lunde Haraldsen,F,28.0,181.0,73.77,22.52,Norway,2008,Summer,Beijing,Handball,Gold
Katrine Lunde Haraldsen,F,32.0,181.0,73.77,22.52,Norway,2012,Summer,London,Handball,Gold
Hisayoshi Harasawa,M,24.0,191.0,125.0,34.26,Japan,2016,Summer,Rio de Janeiro,Judo,Silver
"James Edward ""Trey"" Hardee, III",M,28.0,196.0,96.0,24.99,United States of America,2012,Summer,London,Athletics,Silver
"James Edward Harden, Jr.",M,22.0,196.0,100.0,26.03,United States of America,2012,Summer,London,Basketball,Gold
Kelly Hardie,F,38.0,182.0,80.0,24.15,Australia,2008,Summer,Beijing,Softball,Bronze
Tanya Victoria Harding,F,32.0,172.0,72.0,24.34,Australia,2004,Summer,Athina,Softball,Silver
Tanya Victoria Harding,F,36.0,172.0,72.0,24.34,Australia,2008,Summer,Beijing,Softball,Bronze
Adrien Hardy,M,26.0,197.0,87.0,22.42,France,2004,Summer,Athina,Rowing,Gold
Jessica Adele Hardy (-Meichtry),F,25.0,180.0,70.0,21.6,United States of America,2012,Summer,London,Swimming,Bronze
Jessica Adele Hardy (-Meichtry),F,25.0,180.0,70.0,21.6,United States of America,2012,Summer,London,Swimming,Gold
Georgina Claire Harland (-Seccombe),F,26.0,177.0,62.0,19.79,United Kingdom,2004,Summer,Athina,Modern Pentathlon,Bronze
Christa Deanne Harmotto-Dietzen,F,25.0,188.0,79.0,22.35,United States of America,2012,Summer,London,Volleyball,Silver
Christa Deanne Harmotto-Dietzen,F,29.0,188.0,79.0,22.35,United States of America,2016,Summer,Rio de Janeiro,Volleyball,Bronze
"Eric J. ""E.J."" Harnden",M,30.0,185.0,84.0,24.54,Canada,2014,Winter,Sochi,Curling,Gold
Ryan Harnden,M,27.0,183.0,91.0,27.17,Canada,2014,Winter,Sochi,Curling,Gold
Marlne Harnois,F,25.0,174.0,57.0,18.83,France,2012,Summer,London,Taekwondo,Bronze
"Dawn Harper (-Everhart, -Nelson)",F,24.0,168.0,61.0,21.61,United States of America,2008,Summer,Beijing,Athletics,Gold
"Dawn Harper (-Everhart, -Nelson)",F,28.0,168.0,61.0,21.61,United States of America,2012,Summer,London,Athletics,Silver
Lori D. Harrigan (-Mack),F,33.0,182.0,99.0,29.89,United States of America,2004,Summer,Athina,Softball,Gold
"Otis Harris, Jr.",M,22.0,185.0,83.0,24.25,United States of America,2004,Summer,Athina,Athletics,Silver
"Otis Harris, Jr.",M,22.0,185.0,83.0,24.25,United States of America,2004,Summer,Athina,Athletics,Gold
Kayla Harrison,F,22.0,173.0,74.0,24.73,United States of America,2012,Summer,London,Judo,Gold
Kayla Harrison,F,26.0,173.0,74.0,24.73,United States of America,2016,Summer,Rio de Janeiro,Judo,Gold
Loretta Harrop,F,29.0,168.0,53.0,18.78,Australia,2004,Summer,Athina,Triathlon,Silver
Kristi Lee Harrower,F,29.0,162.0,63.0,24.01,Australia,2004,Summer,Athina,Basketball,Silver
Kristi Lee Harrower,F,33.0,162.0,63.0,24.01,Australia,2008,Summer,Beijing,Basketball,Silver
Kristi Lee Harrower,F,37.0,162.0,63.0,24.01,Australia,2012,Summer,London,Basketball,Bronze
Sara Harstick,F,22.0,178.0,66.0,20.83,Germany,2004,Summer,Athina,Swimming,Bronze
Christoph Harting,M,26.0,207.0,120.0,28.01,Germany,2016,Summer,Rio de Janeiro,Athletics,Gold
Robert Harting,M,27.0,201.0,126.0,31.19,Germany,2012,Summer,London,Athletics,Gold
Blythe Hartley,F,22.0,165.0,56.0,20.57,Canada,2004,Summer,Athina,Diving,Bronze
Artem Harutyunyan,M,25.0,172.0,64.0,21.63,Germany,2016,Summer,Rio de Janeiro,Boxing,Bronze
Dominik Haek,M,41.0,183.0,77.0,22.99,Czechia,2006,Winter,Torino,Ice Hockey,Bronze
Oswald Haselrieder,M,34.0,178.0,71.0,22.41,Italy,2006,Winter,Torino,Luge,Bronze
Natasha Monique Hastings,F,22.0,173.0,68.0,22.72,United States of America,2008,Summer,Beijing,Athletics,Gold
Natasha Monique Hastings,F,30.0,173.0,68.0,22.72,United States of America,2016,Summer,Rio de Janeiro,Athletics,Gold
Annia Portuondo Hatch,F,26.0,152.0,43.0,18.61,United States of America,2004,Summer,Athina,Gymnastics,Silver
Annia Portuondo Hatch,F,26.0,152.0,43.0,18.61,United States of America,2004,Summer,Athina,Gymnastics,Silver
Gbor Hatos,M,28.0,170.0,76.0,26.3,Hungary,2012,Summer,London,Wrestling,Bronze
Ola Vigen Hattestad,M,31.0,186.0,85.0,24.57,Norway,2014,Winter,Sochi,Cross Country Skiing,Gold
Franzisca Hauke,F,26.0,172.0,63.0,21.3,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Tobias Constantin Hauke,M,20.0,183.0,81.0,24.19,Germany,2008,Summer,Beijing,Hockey,Gold
Tobias Constantin Hauke,M,24.0,183.0,81.0,24.19,Germany,2012,Summer,London,Hockey,Gold
Tobias Constantin Hauke,M,28.0,183.0,81.0,24.19,Germany,2016,Summer,Rio de Janeiro,Hockey,Bronze
Patrick Hausding,M,19.0,180.0,77.0,23.77,Germany,2008,Summer,Beijing,Diving,Silver
Patrick Hausding,M,27.0,180.0,77.0,23.77,Germany,2016,Summer,Rio de Janeiro,Diving,Bronze
Jan Hauser,M,25.0,187.0,80.0,22.88,Switzerland,2010,Winter,Vancouver,Curling,Bronze
Simone Hye-Soon Hauswald (Denkinger-),F,30.0,168.0,56.0,19.84,Germany,2010,Winter,Vancouver,Biathlon,Bronze
Simone Hye-Soon Hauswald (Denkinger-),F,30.0,168.0,56.0,19.84,Germany,2010,Winter,Vancouver,Biathlon,Bronze
Matti Antero Hautamki,M,20.0,177.0,64.0,20.43,Finland,2002,Winter,Salt Lake City,Ski Jumping,Bronze
Matti Antero Hautamki,M,20.0,177.0,64.0,20.43,Finland,2002,Winter,Salt Lake City,Ski Jumping,Silver
Matti Antero Hautamki,M,24.0,177.0,64.0,20.43,Finland,2006,Winter,Torino,Ski Jumping,Silver
Matti Antero Hautamki,M,24.0,177.0,64.0,20.43,Finland,2006,Winter,Torino,Ski Jumping,Silver
Daniel Havel,M,20.0,178.0,79.0,24.93,Czechia,2012,Summer,London,Canoeing,Bronze
Daniel Havel,M,24.0,178.0,79.0,24.93,Czechia,2016,Summer,Rio de Janeiro,Canoeing,Bronze
Anders Niclas Hvelid,M,32.0,182.0,90.0,27.17,Sweden,2006,Winter,Torino,Ice Hockey,Gold
Ren Hayakawa,F,24.0,179.0,65.0,20.29,Japan,2012,Summer,London,Archery,Bronze
Michael Haybck,M,22.0,182.0,65.0,19.62,Austria,2014,Winter,Sochi,Ski Jumping,Silver
Brent Matthew Hayden,M,28.0,193.0,86.0,23.09,Canada,2012,Summer,London,Swimming,Bronze
Brittany Hayes,F,23.0,170.0,72.0,24.91,United States of America,2008,Summer,Beijing,Water Polo,Silver
Joanna Dove Hayes,F,27.0,167.0,58.0,20.8,United States of America,2004,Summer,Athina,Athletics,Gold
"Robert John ""Rob"" Hayles",M,31.0,188.0,80.0,22.63,United Kingdom,2004,Summer,Athina,Cycling,Silver
"Robert John ""Rob"" Hayles",M,31.0,188.0,80.0,22.63,United Kingdom,2004,Summer,Athina,Cycling,Bronze
Akeem Haynes,M,24.0,170.0,73.0,25.26,Canada,2016,Summer,Rio de Janeiro,Athletics,Bronze
Todd Dennys Hays,M,32.0,190.0,107.0,29.64,United States of America,2002,Winter,Salt Lake City,Bobsleigh,Silver
He Chong,M,21.0,169.0,69.0,24.16,China,2008,Summer,Beijing,Diving,Gold
He Chong,M,25.0,169.0,69.0,24.16,China,2012,Summer,London,Diving,Bronze
He Hanbin,M,22.0,180.0,80.0,24.69,China,2008,Summer,Beijing,Badminton,Bronze
He Kexin,F,16.0,142.0,33.0,16.37,China,2008,Summer,Beijing,Gymnastics,Gold
He Kexin,F,16.0,142.0,33.0,16.37,China,2008,Summer,Beijing,Gymnastics,Gold
He Kexin,F,20.0,142.0,33.0,16.37,China,2012,Summer,London,Gymnastics,Silver
He Wenna,F,19.0,160.0,50.0,19.53,China,2008,Summer,Beijing,Trampolining,Gold
He Wenna,F,23.0,160.0,50.0,19.53,China,2012,Summer,London,Trampolining,Bronze
He Ying,F,27.0,170.0,68.0,23.53,China,2004,Summer,Athina,Archery,Silver
He Zi,F,21.0,159.0,51.0,20.17,China,2012,Summer,London,Diving,Silver
He Zi,F,21.0,159.0,51.0,20.17,China,2012,Summer,London,Diving,Gold
He Zi,F,25.0,159.0,51.0,20.17,China,2016,Summer,Rio de Janeiro,Diving,Silver
Maaike Christiane Head,F,32.0,173.0,59.0,19.71,Netherlands,2016,Summer,Rio de Janeiro,Rowing,Gold
Geraldine Anne Heaney,F,34.0,173.0,64.0,21.38,Canada,2002,Winter,Salt Lake City,Ice Hockey,Gold
Liam Nicholas Heath,M,27.0,182.0,81.0,24.45,United Kingdom,2012,Summer,London,Canoeing,Bronze
Liam Nicholas Heath,M,31.0,182.0,81.0,24.45,United Kingdom,2016,Summer,Rio de Janeiro,Canoeing,Gold
Liam Nicholas Heath,M,31.0,182.0,81.0,24.45,United Kingdom,2016,Summer,Rio de Janeiro,Canoeing,Silver
Tobin Powell Heath,F,20.0,168.0,59.0,20.9,United States of America,2008,Summer,Beijing,Football,Gold
Tobin Powell Heath,F,24.0,168.0,59.0,20.9,United States of America,2012,Summer,London,Football,Gold
Alastair Heathcote,M,30.0,191.0,92.0,25.22,United Kingdom,2008,Summer,Beijing,Rowing,Silver
"Daniel James ""Dany"" Heatley",M,29.0,191.0,97.0,26.59,Canada,2010,Winter,Vancouver,Ice Hockey,Gold
"Benjamin ""Ben"" Hebert",M,26.0,180.0,94.0,29.01,Canada,2010,Winter,Vancouver,Curling,Gold
Chad Paul Hedrick,M,28.0,180.0,76.0,23.46,United States of America,2006,Winter,Torino,Speed Skating,Bronze
Chad Paul Hedrick,M,28.0,180.0,76.0,23.46,United States of America,2006,Winter,Torino,Speed Skating,Gold
Chad Paul Hedrick,M,28.0,180.0,76.0,23.46,United States of America,2006,Winter,Torino,Speed Skating,Silver
Chad Paul Hedrick,M,32.0,180.0,76.0,23.46,United States of America,2010,Winter,Vancouver,Speed Skating,Bronze
Chad Paul Hedrick,M,32.0,180.0,76.0,23.46,United States of America,2010,Winter,Vancouver,Speed Skating,Silver
"Frederike Johanna Maria ""Femke"" Heemskerk",F,20.0,180.0,68.0,20.99,Netherlands,2008,Summer,Beijing,Swimming,Gold
"Frederike Johanna Maria ""Femke"" Heemskerk",F,24.0,180.0,68.0,20.99,Netherlands,2012,Summer,London,Swimming,Silver
Jayna Hefford,F,24.0,163.0,63.0,23.71,Canada,2002,Winter,Salt Lake City,Ice Hockey,Gold
Jayna Hefford,F,28.0,163.0,63.0,23.71,Canada,2006,Winter,Torino,Ice Hockey,Gold
Jayna Hefford,F,32.0,163.0,63.0,23.71,Canada,2010,Winter,Vancouver,Ice Hockey,Gold
Jayna Hefford,F,36.0,163.0,63.0,23.71,Canada,2014,Winter,Sochi,Ice Hockey,Gold
Beat Hefti,M,24.0,183.0,110.0,32.85,Switzerland,2002,Winter,Salt Lake City,Bobsleigh,Bronze
Beat Hefti,M,28.0,183.0,110.0,32.85,Switzerland,2006,Winter,Torino,Bobsleigh,Bronze
Beat Hefti,M,28.0,183.0,110.0,32.85,Switzerland,2006,Winter,Torino,Bobsleigh,Bronze
Beat Hefti,M,36.0,183.0,110.0,32.85,Switzerland,2014,Winter,Sochi,Bobsleigh,Silver
Francis Hegerty,M,25.0,187.0,95.0,27.17,Australia,2008,Summer,Beijing,Rowing,Silver
Britta Heidemann,F,21.0,180.0,70.0,21.6,Germany,2004,Summer,Athina,Fencing,Silver
Britta Heidemann,F,25.0,180.0,70.0,21.6,Germany,2008,Summer,Beijing,Fencing,Gold
Britta Heidemann,F,29.0,180.0,70.0,21.6,Germany,2012,Summer,London,Fencing,Silver
Betty Heidler,F,28.0,175.0,85.0,27.76,Germany,2012,Summer,London,Athletics,Bronze
Erik Heil,M,26.0,185.0,80.0,23.37,Germany,2016,Summer,Rio de Janeiro,Sailing,Bronze
Jennifer Heil,F,22.0,162.0,56.5,21.53,Canada,2006,Winter,Torino,Freestyle Skiing,Gold
Jennifer Heil,F,26.0,162.0,56.5,21.53,Canada,2010,Winter,Vancouver,Freestyle Skiing,Silver
Claudia Heill,F,22.0,176.0,65.0,20.98,Austria,2004,Summer,Athina,Judo,Silver
Silvio Heinevetter,M,31.0,194.0,99.0,26.3,Germany,2016,Summer,Rio de Janeiro,Handball,Bronze
Ivn Gabriel Heinze,M,26.0,179.0,78.0,24.34,Argentina,2004,Summer,Athina,Football,Gold
Milan Hejduk,M,29.0,183.0,87.0,25.98,Czechia,2006,Winter,Torino,Ice Hockey,Bronze
Zuzana Hejnov,F,25.0,173.0,63.0,21.05,Czechia,2012,Summer,London,Athletics,Bronze
Ryan Held,M,21.0,177.71,73.77,23.36,United States of America,2016,Summer,Rio de Janeiro,Swimming,Gold
Lars Andreas Helgstrand,M,30.0,183.0,67.0,20.01,Denmark,2008,Summer,Beijing,Equestrianism,Bronze
Anne Helin,F,23.0,170.0,68.0,23.53,Finland,2010,Winter,Vancouver,Ice Hockey,Bronze
Andr Heller,M,28.0,199.0,93.0,23.48,Brazil,2004,Summer,Athina,Volleyball,Gold
Andr Heller,M,32.0,199.0,93.0,23.48,Brazil,2008,Summer,Beijing,Volleyball,Silver
Carl Marcus Joakim Hellner,M,24.0,183.0,75.0,22.4,Sweden,2010,Winter,Vancouver,Cross Country Skiing,Gold
Carl Marcus Joakim Hellner,M,24.0,183.0,75.0,22.4,Sweden,2010,Winter,Vancouver,Cross Country Skiing,Gold
Carl Marcus Joakim Hellner,M,28.0,183.0,75.0,22.4,Sweden,2014,Winter,Sochi,Cross Country Skiing,Silver
Carl Marcus Joakim Hellner,M,28.0,183.0,75.0,22.4,Sweden,2014,Winter,Sochi,Cross Country Skiing,Gold
Mathew Glen Helm,M,23.0,170.0,62.0,21.45,Australia,2004,Summer,Athina,Diving,Silver
Mathew Glen Helm,M,23.0,170.0,62.0,21.45,Australia,2004,Summer,Athina,Diving,Bronze
"Matthew E. ""Matt"" Hemingway",M,31.0,200.0,84.0,21.0,United States of America,2004,Summer,Athina,Athletics,Silver
Ale Hemsk,M,22.0,183.0,84.0,25.08,Czechia,2006,Winter,Torino,Ice Hockey,Bronze
"Jeffrey ""Jeff"" Henderson",M,27.0,183.0,86.0,25.68,United States of America,2016,Summer,Rio de Janeiro,Athletics,Gold
Monique Marie Henderson,F,21.0,170.0,54.0,18.69,United States of America,2004,Summer,Athina,Athletics,Gold
Monique Marie Henderson,F,25.0,170.0,54.0,18.69,United States of America,2008,Summer,Beijing,Athletics,Gold
Kaj Hendriks,M,28.0,197.0,95.0,24.48,Netherlands,2016,Summer,Rio de Janeiro,Rowing,Bronze
Andrea Henkel (-Burke),F,24.0,159.0,49.0,19.38,Germany,2002,Winter,Salt Lake City,Biathlon,Gold
Andrea Henkel (-Burke),F,24.0,159.0,49.0,19.38,Germany,2002,Winter,Salt Lake City,Biathlon,Gold
Andrea Henkel (-Burke),F,28.0,159.0,49.0,19.38,Germany,2006,Winter,Torino,Biathlon,Silver
Andrea Henkel (-Burke),F,32.0,159.0,49.0,19.38,Germany,2010,Winter,Vancouver,Biathlon,Bronze
Manuela Henkel,F,27.0,168.0,56.0,19.84,Germany,2002,Winter,Salt Lake City,Cross Country Skiing,Gold
Monique Hennagan,F,28.0,173.0,57.0,19.05,United States of America,2004,Summer,Athina,Athletics,Gold
Josephine Henning,F,26.0,175.0,68.0,22.2,Germany,2016,Summer,Rio de Janeiro,Football,Gold
Thais Henrquez Torres,F,25.0,185.0,69.0,20.16,Spain,2008,Summer,Beijing,Synchronized Swimming,Silver
Thais Henrquez Torres,F,29.0,185.0,69.0,20.16,Spain,2012,Summer,London,Synchronized Swimming,Bronze
Desiree Latifah N. Henry,F,20.0,171.0,64.0,21.89,United Kingdom,2016,Summer,Rio de Janeiro,Athletics,Bronze
Jodie Clare Henry,F,20.0,176.0,63.0,20.34,Australia,2004,Summer,Athina,Swimming,Gold
Jodie Clare Henry,F,20.0,176.0,63.0,20.34,Australia,2004,Summer,Athina,Swimming,Gold
Jodie Clare Henry,F,20.0,176.0,63.0,20.34,Australia,2004,Summer,Athina,Swimming,Gold
Pascal Hens,M,24.0,203.0,100.0,24.27,Germany,2004,Summer,Athina,Handball,Silver
"Gillian ""Jill"" Henselwood",F,45.0,168.0,56.0,19.84,Canada,2008,Summer,Beijing,Equestrianism,Silver
Jukka Mika Petteri Hentunen,M,31.0,178.0,85.0,26.83,Finland,2006,Winter,Torino,Ice Hockey,Silver
Stefan Henze,M,23.0,177.0,75.0,23.94,Germany,2004,Summer,Athina,Canoeing,Silver
Heo Sun-Yeong,F,28.0,180.0,71.0,21.91,South Korea,2004,Summer,Athina,Handball,Silver
Heo Sun-Yeong,F,32.0,180.0,71.0,21.91,South Korea,2008,Summer,Beijing,Handball,Bronze
Heo Yeong-Suk,F,29.0,170.0,61.0,21.11,South Korea,2004,Summer,Athina,Handball,Silver
Michael David Hepburn,M,20.0,186.0,77.0,22.26,Australia,2012,Summer,London,Cycling,Silver
Michael David Hepburn,M,24.0,186.0,77.0,22.26,Australia,2016,Summer,Rio de Janeiro,Cycling,Silver
Reinfried Herbst,M,27.0,182.0,84.0,25.36,Austria,2006,Winter,Torino,Alpine Skiing,Silver
Sabrina Hering,F,24.0,167.0,70.0,25.1,Germany,2016,Summer,Rio de Janeiro,Canoeing,Silver
Jos Antonio Hermida Ramos,M,25.0,172.0,67.0,22.65,Spain,2004,Summer,Athina,Cycling,Silver
Anaisis Hernndez Sarria,F,26.0,170.0,63.0,21.8,Cuba,2008,Summer,Beijing,Judo,Silver
"Lauren Zoe ""Laurie"" Hernandez",F,16.0,152.0,49.0,21.21,United States of America,2016,Summer,Rio de Janeiro,Gymnastics,Gold
"Lauren Zoe ""Laurie"" Hernandez",F,16.0,152.0,49.0,21.21,United States of America,2016,Summer,Rio de Janeiro,Gymnastics,Silver
"Mara de la Paz ""Maripi"" Hernndez Margalot",F,27.0,163.0,57.0,21.45,Argentina,2004,Summer,Athina,Hockey,Bronze
"Mara de la Paz ""Maripi"" Hernndez Margalot",F,31.0,163.0,57.0,21.45,Argentina,2008,Summer,Beijing,Hockey,Bronze
Nico Miguel Hernandez,M,20.0,165.0,49.0,18.0,United States of America,2016,Summer,Rio de Janeiro,Boxing,Bronze
Yampier Hernndez Gonzales,M,23.0,165.0,48.0,17.63,Cuba,2008,Summer,Beijing,Boxing,Bronze
Anderson Hernanes de Carvalho Andrade Lima,M,23.0,180.0,76.0,23.46,Brazil,2008,Summer,Beijing,Football,Bronze
"Guillermo Gustavo ""Willy"" Hernangmez Geuer",M,22.0,210.0,115.0,26.08,Spain,2016,Summer,Rio de Janeiro,Basketball,Bronze
Camilla Herrem,F,25.0,167.0,57.0,20.44,Norway,2012,Summer,London,Handball,Gold
Camilla Herrem,F,29.0,167.0,57.0,20.44,Norway,2016,Summer,Rio de Janeiro,Handball,Bronze
Pablo Herrera Allepuz,M,22.0,193.0,88.0,23.62,Spain,2004,Summer,Athina,Beach Volleyball,Silver
Denise Herrmann,F,25.0,175.0,61.0,19.92,Germany,2014,Winter,Sochi,Cross Country Skiing,Bronze
Walter Herrmann,M,25.0,203.0,105.0,25.48,Argentina,2004,Summer,Athina,Basketball,Gold
Nicole Herschmann,F,26.0,180.0,71.0,21.91,Germany,2002,Winter,Salt Lake City,Bobsleigh,Bronze
